place spp site  lnwt
Cumb nive Dry  5.47
Cumb nive Dry  3.55
Cumb nive Dry  4.33
Cumb nive Dry  4.52
Cumb nive Dry  2.82
Cumb nive Dry  4.32
Cumb nive Dry  3.66
Cumb nive Dry  3.56
Cumb nive Dry  4.44
Cumb nive Dry  3.81
Cumb nive Mid  4.20
Cumb nive Mid  3.63
Cumb nive Mid  2.66
Cumb nive Mid  2.71
Cumb nive Mid  3.21
Cumb nive Mid  3.12
Cumb nive Mid  3.46
Cumb nive Mid  3.29
Cumb nive Mid  2.87
Cumb nive Mid  4.66
Cumb nive Wet  3.27
Cumb nive Wet  3.13
Cumb nive Wet  3.49
Cumb nive Wet  3.24
Cumb nive Wet  2.68
Cumb nive Wet  2.82
Cumb nive Wet  2.95
Cumb nive Wet  4.25
Cumb nive Wet  3.67
Cumb nive Wet  2.88
Cumb grac Dry  4.00
Cumb grac Dry  3.79
Cumb grac Dry  3.37
Cumb grac Dry  3.97
Cumb grac Dry  3.40
Cumb grac Dry  4.31
Cumb grac Dry  3.74
Cumb grac Dry  3.76
Cumb grac Dry  3.62
Cumb grac Dry  3.72
Cumb grac Mid  3.80
Cumb grac Mid  3.42
Cumb grac Mid  4.60
Cumb grac Mid  4.72
Cumb grac Mid  5.04
Cumb grac Mid  4.35
Cumb grac Mid  3.95
Cumb grac Mid  4.35
Cumb grac Mid  4.32
Cumb grac Mid  4.15
Cumb grac Wet  4.75
Cumb grac Wet  4.40
Cumb grac Wet  4.72
Cumb grac Wet  5.27
Cumb grac Wet  4.61
Cumb grac Wet  4.03
Cumb grac Wet  5.26
Penn nive Dry  4.18
Penn nive Dry  3.63
Penn nive Dry  4.97
Penn nive Dry  3.93
Penn nive Dry  5.36
Penn nive Dry  4.84
Penn nive Dry  4.59
Penn nive Dry  4.84
Penn nive Dry  4.42
Penn nive Dry  4.36
Penn nive Mid  4.88
Penn nive Mid  3.38
Penn nive Mid  3.98
Penn nive Mid  3.67
Penn nive Mid  3.18
Penn nive Mid  3.45
Penn nive Mid  3.40
Penn nive Mid  4.28
Penn nive Mid  2.79
Penn nive Mid  3.52
Penn nive Wet  4.19
Penn nive Wet  3.36
Penn nive Wet  2.53
Penn nive Wet  3.15
Penn nive Wet  3.04
Penn nive Wet  3.46
Penn nive Wet  3.24
Penn grac Dry  3.86
Penn grac Dry  3.98
Penn grac Dry  4.53
Penn grac Dry  3.93
Penn grac Dry  4.74
Penn grac Mid  4.79
Penn grac Mid  4.47
Penn grac Mid  4.84
Penn grac Mid  4.63
Penn grac Mid  4.70
Penn grac Mid  4.15
Penn grac Mid  5.28
Penn grac Mid  5.06
Penn grac Mid  4.53
Penn grac Mid  4.14
Penn grac Wet  5.83
Penn grac Wet  4.79
Penn grac Wet  5.24
Penn grac Wet  5.79
Penn grac Wet  4.94
Penn grac Wet  4.24
Penn grac Wet  5.80
Penn grac Wet  5.19
Penn grac Wet  4.61
Penn grac Wet  4.83







